Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
1,6,4,0,,,,10.9,0,0,1.1,0.0
1,7,4,0,,,,18.2,0,0,4.4,0.0
1,8,4,0,,,,15.5,0,0,30.1,32.0
1,9,4,0,,,,18.8,0,0,18.6,109.0
1,10,4,0,,,,22.2,0,0,21.1,110.0
1,11,4,0,,,,22.1,0,0,17.4,104.0
1,12,4,0,,,,22.9,0,0,18.1,65.0
1,13,4,0,,,,21.4,0,0,18.3,38.0
1,14,4,0,,,,20.5,0,0,16.6,13.0
1,15,4,0,,,,22.4,0,0,16.4,0.0
1,16,4,0,,,,23.7,0,0,16.7,0.0
1,17,4,0,,,,13.4,0,0,15.9,0.0
1,18,4,0,,,,8.4,0,0,16.9,0.0
1,19,4,0,,,,6.1,0,0,14.4,0.0
1,20,4,0,,,,5.1,0,0,0.8,0.0
1,21,4,0,,,,5.0,0,0,1.1,0.0
1,22,4,0,,,,5.2,0,0,1.1,0.0
1,23,4,0,,,,5.1,0,0,1.2,0.0
1,24,4,0,,,,5.2,0,0,1.1,0.0
1,1,5,0,,,,5.0,0,0,1.1,0.0
1,2,5,0,,,,5.2,0,0,1.2,0.0
1,3,5,0,,,,5.0,0,0,1.1,0.0
1,4,5,0,,,,5.1,0,0,1.2,0.0
1,5,5,0,,,,5.9,0,0,1.6,0.0
1,6,5,0,,,,11.6,0,0,1.2,0.0
1,7,5,0,,,,14.5,0,0,1.2,0.0
1,8,5,0,,,,14.6,0,0,28.0,42.0
1,9,5,0,,,,17.6,0,0,17.4,151.0
1,10,5,0,,,,20.1,0,0,16.9,201.0
1,11,5,0,,,,18.0,0,0,16.1,181.0
1,12,5,0,,,,19.9,0,0,17.2,117.0
1,13,5,0,,,,20.2,0,0,17.0,90.0
1,14,5,0,,,,19.5,0,0,15.7,47.0
1,15,5,0,,,,20.2,0,0,15.7,7.0
1,16,5,0,,,,19.6,0,0,16.0,0.0
1,17,5,0,,,,11.4,0,0,16.4,0.0
1,18,5,0,,,,8.2,0,0,16.5,0.0
1,19,5,0,,,,6.0,0,0,16.2,0.0
1,20,5,0,,,,5.1,0,0,1.8,0.0
1,21,5,0,,,,5.0,0,0,1.1,0.0
1,22,5,0,,,,5.0,0,0,1.7,0.0
1,23,5,0,,,,5.0,0,0,1.2,0.0
1,24,5,0,,,,5.1,0,0,1.5,0.0
1,1,6,0,,,,5.0,0,0,1.3,0.0
1,2,6,0,,,,5.0,0,0,1.1,0.0
1,3,6,0,,,,5.0,0,0,1.8,0.0
1,4,6,0,,,,5.0,0,0,1.1,0.0
1,5,6,0,,,,5.9,0,0,1.7,0.0
1,6,6,0,,,,10.3,0,0,1.2,0.0
1,7,6,0,,,,17.8,0,0,1.7,0.0
1,8,6,0,,,,14.5,0,0,27.6,39.0
1,9,6,0,,,,14.1,0,0,21.7,224.0
1,10,6,0,,,,17.5,0,0,18.8,679.0
1,11,6,0,,,,18.1,0,0,15.7,753.0
1,12,6,0,,,,18.9,0,0,16.6,738.0
1,13,6,0,,,,18.8,0,0,15.8,650.0
1,14,6,0,,,,18.2,0,0,15.4,456.0
1,15,6,0,,,,18.5,0,0,15.7,134.0
1,16,6,0,,,,19.1,0,0,15.9,0.0
1,17,6,0,,,,14.7,0,0,15.6,0.0
1,18,6,0,,,,8.5,0,0,16.1,0.0
1,19,6,0,,,,6.0,0,0,15.5,0.0
1,20,6,0,,,,4.3,0,0,1.2,0.0
1,21,6,0,,,,4.2,0,0,0.0,0.0
1,22,6,0,,,,5.0,0,0,1.3,0.0
1,23,6,0,,,,5.2,0,0,0.5,0.0
1,24,6,0,,,,5.4,0,0,1.1,0.0
1,1,7,0,,,,5.4,0,0,1.1,0.0
1,2,7,0,,,,5.3,0,0,0.7,0.0
1,3,7,0,,,,5.4,0,0,1.4,0.0
1,4,7,0,,,,5.2,0,0,1.2,0.0
1,5,7,0,,,,5.4,0,0,1.1,0.0
1,6,7,0,,,,5.3,0,0,1.1,0.0
1,7,7,0,,,,6.4,0,0,1.1,0.0
1,8,7,0,,,,6.9,0,0,4.5,139.0
1,9,7,0,,,,8.9,0,0,3.6,413.0
1,10,7,0,,,,7.7,0,0,4.4,557.0
1,11,7,0,,,,6.8,0,0,3.3,618.0
1,12,7,0,,,,8.2,0,0,2.9,588.0
1,13,7,0,,,,9.8,0,0,3.2,483.0
1,14,7,0,,,,8.6,0,0,3.2,309.0
1,15,7,0,,,,7.0,0,0,3.1,78.0
1,16,7,0,,,,7.1,0,0,3.2,0.0
1,17,7,0,,,,8.9,0,0,4.0,0.0
1,18,7,0,,,,6.6,0,0,3.3,0.0
1,19,7,0,,,,5.3,0,0,1.4,0.0
1,20,7,0,,,,5.4,0,0,1.0,0.0
1,21,7,0,,,,5.3,0,0,1.1,0.0
1,22,7,0,,,,5.2,0,0,1.0,0.0
1,23,7,0,,,,5.3,0,0,1.1,0.0
1,24,7,0,,,,5.4,0,0,1.0,0.0
1,1,1,0,,,,5.4,0,0,1.1,0.0
1,2,1,0,,,,5.4,0,0,0.9,0.0
1,3,1,0,,,,5.3,0,0,1.1,0.0
1,4,1,0,,,,5.2,0,0,1.2,0.0
1,5,1,0,,,,5.4,0,0,1.1,0.0
1,6,1,0,,,,5.4,0,0,1.1,0.0
1,7,1,0,,,,5.3,0,0,1.0,0.0
1,8,1,0,,,,4.9,0,0,1.7,65.0
1,9,1,0,,,,5.0,0,0,1.1,289.0
1,10,1,0,,,,4.9,0,0,1.1,451.0
1,11,1,0,,,,4.9,0,0,1.6,455.0
1,12,1,0,,,,4.8,0,0,1.2,186.0
1,13,1,0,,,,4.8,0,0,1.1,57.0
1,14,1,0,,,,4.8,0,0,1.1,15.0
1,15,1,0,,,,4.8,0,0,1.1,0.0
1,16,1,0,,,,5.1,0,0,1.0,0.0
1,17,1,0,,,,5.3,0,0,1.7,0.0
1,18,1,0,,,,5.3,0,0,1.0,0.0
1,19,1,0,,,,5.3,0,0,1.1,0.0
1,20,1,0,,,,5.4,0,0,1.1,0.0
1,21,1,0,,,,5.4,0,0,1.0,0.0
1,22,1,0,,,,5.4,0,0,1.4,0.0
1,23,1,0,,,,5.3,0,0,1.4,0.0
1,24,1,0,,,,5.3,0,0,1.0,0.0
1,1,2,0,,,,5.3,0,0,1.1,0.0
1,2,2,0,,,,5.4,0,0,1.1,0.0
1,3,2,0,,,,5.3,0,0,1.7,0.0
1,4,2,0,,,,5.2,0,0,1.1,0.0
1,5,2,0,,,,5.3,0,0,1.0,0.0
1,6,2,0,,,,10.2,0,0,1.1,0.0
1,7,2,0,,,,14.2,0,0,1.1,0.0
1,8,2,0,,,,12.9,0,0,24.8,5.0
1,9,2,0,,,,16.3,0,0,18.7,52.0
1,10,2,0,,,,19.7,0,0,17.7,128.0
1,11,2,0,,,,18.1,0,0,15.0,65.0
1,12,2,0,,,,20.7,0,0,14.6,52.0
1,13,2,0,,,,20.5,0,0,15.5,47.0
1,14,2,0,,,,20.6,0,0,12.7,37.0
1,15,2,0,,,,25.2,0,0,12.7,11.0
1,16,2,0,,,,21.8,0,0,11.6,0.0
1,17,2,0,,,,12.1,0,0,12.1,0.0
1,18,2,0,,,,8.0,0,0,11.4,0.0
1,19,2,0,,,,5.8,0,0,12.1,0.0
1,20,2,0,,,,5.0,0,0,1.2,0.0
1,21,2,0,,,,5.0,0,0,1.0,0.0
1,22,2,0,,,,5.0,0,0,0.5,0.0
1,23,2,0,,,,5.0,0,0,1.1,0.0
1,24,2,0,,,,5.0,0,0,1.0,0.0
1,1,3,0,,,,5.1,0,0,1.1,0.0
1,2,3,0,,,,5.0,0,0,1.0,0.0
1,3,3,0,,,,5.0,0,0,0.5,0.0
1,4,3,0,,,,5.0,0,0,1.1,0.0
1,5,3,0,,,,5.3,0,0,1.0,0.0
1,6,3,0,,,,10.4,0,0,1.1,0.0
1,7,3,0,,,,15.2,0,0,1.0,0.0
1,8,3,0,,,,15.7,0,0,22.7,9.0
1,9,3,0,,,,15.2,0,0,15.7,41.0
1,10,3,0,,,,20.2,0,0,13.2,62.0
1,11,3,0,,,,21.2,0,0,12.8,65.0
1,12,3,0,,,,21.5,0,0,12.3,86.0
1,13,3,0,,,,21.8,0,0,13.7,71.0
1,14,3,0,,,,18.5,0,0,11.2,51.0
1,15,3,0,,,,19.4,0,0,11.7,14.0
1,16,3,0,,,,19.5,0,0,12.8,0.0
1,17,3,0,,,,12.2,0,0,11.4,0.0
1,18,3,0,,,,8.3,0,0,11.9,0.0
1,19,3,0,,,,6.0,0,0,13.3,0.0
1,20,3,0,,,,5.2,0,0,0.7,0.0
1,21,3,0,,,,5.2,0,0,1.0,0.0
1,22,3,0,,,,5.2,0,0,0.5,0.0
1,23,3,0,,,,5.2,0,0,1.0,0.0
1,24,3,0,,,,5.2,0,0,1.1,0.0
1,1,4,0,,,,5.1,0,0,1.0,0.0
1,2,4,0,,,,5.2,0,0,1.1,0.0
1,3,4,0,,,,5.2,0,0,1.0,0.0
1,4,4,0,,,,5.1,0,0,0.6,0.0
1,5,4,0,,,,5.5,0,0,1.0,0.0
1,6,4,0,,,,12.3,0,0,1.1,0.0
1,7,4,0,,,,16.8,0,0,1.0,0.0
1,8,4,0,,,,16.6,0,0,24.1,54.0
1,9,4,0,,,,19.1,0,0,15.5,117.0
1,10,4,0,,,,24.8,0,0,15.4,128.0
1,11,4,0,,,,22.7,0,0,10.3,135.0
1,12,4,0,,,,23.6,0,0,13.2,141.0
1,13,4,0,,,,21.8,0,0,11.1,114.0
1,14,4,0,,,,25.2,0,0,10.7,60.0
1,15,4,0,,,,22.4,0,0,11.0,10.0
1,16,4,0,,,,20.7,0,0,11.5,0.0
1,17,4,0,,,,13.6,0,0,10.7,0.0
1,18,4,0,,,,9.6,0,0,11.3,0.0
1,19,4,0,,,,6.0,0,0,10.9,0.0
1,20,4,0,,,,5.1,0,0,1.0,0.0
1,21,4,0,,,,3.8,0,0,0.5,0.0
1,22,4,0,,,,3.8,0,0,0.1,0.0
1,23,4,0,,,,5.0,0,0,2.2,0.0
1,24,4,0,,,,5.2,0,0,0.6,0.0
1,1,5,0,,,,5.1,0,0,1.0,0.0
1,2,5,0,,,,5.2,0,0,1.0,0.0
1,3,5,0,,,,5.1,0,0,1.1,0.0
1,4,5,0,,,,5.2,0,0,1.0,0.0
1,5,5,0,,,,5.6,0,0,1.1,0.0
1,6,5,0,,,,8.6,0,0,1.1,0.0
1,7,5,0,,,,14.7,0,0,1.1,0.0
1,8,5,0,,,,15.4,0,0,23.3,14.0
1,9,5,0,,,,18.1,0,0,15.7,27.0
1,10,5,0,,,,22.9,0,0,10.4,30.0
1,11,5,0,,,,21.1,0,0,11.6,95.0
1,12,5,0,,,,19.9,0,0,11.8,263.0
1,13,5,0,,,,21.5,0,0,12.5,355.0
1,14,5,0,,,,23.4,0,0,10.9,281.0
1,15,5,0,,,,24.1,0,0,12.7,74.0
1,16,5,0,,,,22.3,0,0,12.3,0.0
1,17,5,0,,,,13.7,0,0,12.1,0.0
1,18,5,0,,,,10.9,0,0,14.7,0.0
1,19,5,0,,,,6.0,0,0,12.7,0.0
1,20,5,0,,,,4.4,0,0,0.9,0.0
1,21,5,0,,,,3.1,0,0,0.0,0.0
1,22,5,0,,,,2.9,0,0,0.0,0.0
1,23,5,0,,,,4.6,0,0,3.2,0.0
1,24,5,0,,,,5.2,0,0,0.0,0.0
1,1,6,0,,,,5.2,0,0,1.5,0.0
1,2,6,0,,,,5.3,0,0,1.3,0.0
1,3,6,0,,,,5.3,0,0,1.1,0.0
1,4,6,0,,,,5.3,0,0,1.5,0.0
1,5,6,0,,,,5.9,0,0,1.3,0.0
1,6,6,0,,,,9.4,0,0,1.2,0.0
1,7,6,0,,,,16.1,0,0,1.7,0.0
1,8,6,0,,,,12.8,0,0,28.1,15.0
1,9,6,0,,,,15.8,0,0,20.5,48.0
1,10,6,0,,,,18.6,0,0,16.2,112.0
1,11,6,0,,,,17.8,0,0,19.1,485.0
1,12,6,0,,,,19.7,0,0,16.5,620.0
1,13,6,0,,,,21.3,0,0,15.2,570.0
1,14,6,0,,,,21.7,0,0,13.9,436.0
1,15,6,0,,,,18.6,0,0,15.9,136.0
1,16,6,0,,,,18.5,0,0,16.6,0.0
1,17,6,0,,,,12.9,0,0,16.1,0.0
1,18,6,0,,,,10.1,0,0,16.2,0.0
1,19,6,0,,,,6.1,0,0,17.7,0.0
1,20,6,0,,,,4.7,0,0,0.5,0.0
1,21,6,0,,,,3.3,0,0,0.0,0.0
1,22,6,0,,,,3.0,0,0,0.0,0.0
1,23,6,0,,,,3.9,0,0,0.0,0.0
1,24,6,0,,,,5.3,0,0,3.4,0.0
1,1,7,0,,,,5.3,0,0,0.5,0.0
1,2,7,0,,,,5.4,0,0,1.1,0.0
1,3,7,0,,,,5.2,0,0,1.1,0.0
1,4,7,0,,,,5.6,0,0,1.1,0.0
1,5,7,0,,,,7.0,0,0,19.7,0.0
1,6,7,0,,,,7.6,0,0,16.0,0.0
1,7,7,0,,,,8.8,0,0,0.0,0.0
1,8,7,0,,,,9.0,0,0,26.3,281.0
1,9,7,0,,,,8.2,0,0,19.9,518.0
1,10,7,0,,,,6.2,0,0,18.2,675.0
1,11,7,0,,,,3.1,0,0,3.5,750.0
1,12,7,0,,,,3.0,0,0,0.0,734.0
1,13,7,0,,,,2.8,0,0,0.0,657.0
1,14,7,0,,,,2.8,0,0,0.0,477.0
1,15,7,0,,,,3.2,0,0,0.0,157.0
1,16,7,0,,,,5.4,0,0,4.1,0.0
1,17,7,0,,,,5.7,0,0,0.6,0.0
1,18,7,0,,,,5.7,0,0,1.3,0.0
1,19,7,0,,,,5.7,0,0,1.4,0.0
1,20,7,0,,,,5.6,0,0,0.5,0.0
1,21,7,0,,,,5.8,0,0,1.1,0.0
1,22,7,0,,,,5.7,0,0,1.1,0.0
1,23,7,0,,,,5.6,0,0,1.1,0.0
1,24,7,0,,,,5.8,0,0,1.0,0.0
1,1,1,0,,,,6.2,0,0,1.1,0.0
1,2,1,0,,,,7.5,0,0,22.4,0.0
1,3,1,0,,,,7.2,0,0,17.6,0.0
1,4,1,0,,,,7.2,0,0,17.3,0.0
1,5,1,0,,,,6.4,0,0,15.5,0.0
1,6,1,0,,,,5.7,0,0,0.3,0.0
1,7,1,0,,,,5.7,0,0,1.1,0.0
1,8,1,0,,,,5.3,0,0,1.0,129.0
1,9,1,0,,,,5.2,0,0,1.1,299.0
1,10,1,0,,,,5.2,0,0,1.1,460.0
1,11,1,0,,,,5.2,0,0,1.0,554.0
1,12,1,0,,,,5.3,0,0,1.1,555.0
1,13,1,0,,,,5.2,0,0,1.1,489.0
1,14,1,0,,,,5.2,0,0,1.3,371.0
1,15,1,0,,,,5.2,0,0,1.5,134.0
1,16,1,0,,,,5.4,0,0,1.2,0.0
1,17,1,0,,,,5.7,0,0,1.7,0.0
1,18,1,0,,,,5.6,0,0,1.1,0.0
1,19,1,0,,,,5.6,0,0,1.2,0.0
1,20,1,0,,,,5.6,0,0,1.6,0.0
1,21,1,0,,,,5.8,0,0,1.1,0.0
1,22,1,0,,,,5.7,0,0,1.7,0.0
1,23,1,0,,,,5.6,0,0,1.2,0.0
1,24,1,0,,,,5.7,0,0,1.7,0.0
1,1,2,0,,,,5.7,0,0,1.2,0.0
1,2,2,0,,,,5.8,0,0,1.7,0.0
1,3,2,0,,,,5.8,0,0,1.1,0.0
1,4,2,0,,,,5.6,0,0,1.8,0.0
1,5,2,0,,,,5.8,0,0,1.2,0.0
1,6,2,0,,,,10.2,0,0,1.7,0.0
1,7,2,0,,,,14.0,0,0,1.2,0.0
1,8,2,0,,,,11.1,0,0,29.3,323.0
1,9,2,0,,,,14.1,0,0,17.7,597.0
1,10,2,0,,,,17.2,0,0,17.2,745.0
1,11,2,0,,,,17.8,0,0,11.8,784.0
1,12,2,0,,,,18.0,0,0,15.6,765.0
1,13,2,0,,,,19.3,0,0,14.7,697.0
1,14,2,0,,,,20.4,0,0,14.5,539.0
1,15,2,0,,,,21.5,0,0,14.1,204.0
1,16,2,0,,,,18.6,0,0,14.2,0.0
1,17,2,0,,,,15.1,0,0,14.7,0.0
1,18,2,0,,,,13.4,0,0,15.4,0.0
1,19,2,0,,,,8.1,0,0,15.1,0.0
1,20,2,0,,,,4.2,0,0,0.4,0.0
1,21,2,0,,,,3.4,0,0,0.0,0.0
1,22,2,0,,,,3.4,0,0,0.0,0.0
1,23,2,0,,,,5.2,0,0,3.4,0.0
1,24,2,0,,,,5.7,0,0,0.6,0.0
1,1,3,0,,,,5.7,0,0,1.1,0.0
1,2,3,0,,,,5.8,0,0,1.8,0.0
1,3,3,0,,,,5.8,0,0,1.1,0.0
1,4,3,0,,,,5.8,0,0,1.8,0.0
1,5,3,0,,,,7.5,0,0,1.1,0.0
1,6,3,0,,,,12.6,0,0,1.8,0.0
1,7,3,0,,,,14.6,0,0,1.1,0.0
1,8,3,0,,,,11.8,0,0,28.2,74.0
1,9,3,0,,,,16.3,0,0,17.2,130.0
1,10,3,0,,,,17.2,0,0,16.9,246.0
1,11,3,0,,,,17.6,0,0,12.8,406.0
1,12,3,0,,,,19.0,0,0,15.9,238.0
1,13,3,0,,,,20.0,0,0,14.3,118.0
1,14,3,0,,,,17.6,0,0,14.1,112.0
1,15,3,0,,,,19.0,0,0,14.2,79.0
1,16,3,0,,,,19.4,0,0,14.5,0.0
1,17,3,0,,,,15.4,0,0,15.9,0.0
1,18,3,0,,,,13.2,0,0,15.1,0.0
1,19,3,0,,,,8.7,0,0,14.9,0.0
1,20,3,0,,,,3.8,0,0,0.4,0.0
1,21,3,0,,,,3.4,0,0,0.0,0.0
1,22,3,0,,,,3.4,0,0,0.0,0.0
1,23,3,0,,,,4.0,0,0,0.0,0.0
1,24,3,0,,,,5.6,0,0,3.7,0.0
1,1,4,0,,,,5.6,0,0,1.1,0.0
1,2,4,0,,,,5.6,0,0,1.1,0.0
1,3,4,0,,,,5.6,0,0,1.7,0.0
1,4,4,0,,,,5.6,0,0,1.1,0.0
1,5,4,0,,,,6.4,0,0,1.1,0.0
1,6,4,0,,,,8.3,0,0,1.1,0.0
1,7,4,0,,,,15.0,0,0,1.1,0.0
1,8,4,0,,,,11.3,0,0,23.4,0.0
1,9,4,0,,,,15.1,0,0,16.4,7.0
1,10,4,0,,,,19.7,0,0,12.6,28.0
1,11,4,0,,,,19.5,0,0,14.5,65.0
1,12,4,0,,,,20.1,0,0,11.0,87.0
1,13,4,0,,,,21.2,0,0,12.9,66.0
1,14,4,0,,,,21.4,0,0,11.3,23.0
1,15,4,0,,,,21.0,0,0,11.0,2.0
1,16,4,0,,,,20.1,0,0,11.5,0.0
1,17,4,0,,,,17.8,0,0,11.4,0.0
1,18,4,0,,,,13.0,0,0,11.0,0.0
1,19,4,0,,,,8.3,0,0,10.7,0.0
1,20,4,0,,,,3.9,0,0,0.5,0.0
1,21,4,0,,,,3.2,0,0,0.0,0.0
1,22,4,0,,,,3.0,0,0,0.0,0.0
1,23,4,0,,,,3.0,0,0,0.0,0.0
1,24,4,0,,,,3.0,0,0,0.0,0.0
1,1,5,0,,,,3.0,0,0,0.0,0.0
1,2,5,0,,,,3.2,0,0,0.0,0.0
1,3,5,0,,,,3.7,0,0,0.0,0.0
1,4,5,0,,,,5.4,0,0,4.7,0.0
1,5,5,0,,,,7.3,0,0,1.1,0.0
1,6,5,0,,,,11.6,0,0,1.1,0.0
1,7,5,0,,,,15.3,0,0,1.2,0.0
1,8,5,0,,,,15.6,0,0,24.3,0.0
1,9,5,0,,,,19.6,0,0,15.4,23.0
1,10,5,0,,,,25.2,0,0,12.8,174.0
1,11,5,0,,,,26.2,0,0,12.9,467.0
1,12,5,0,,,,25.5,0,0,11.7,542.0
1,13,5,0,,,,25.0,0,0,11.9,495.0
1,14,5,0,,,,24.6,0,0,11.6,284.0
1,15,5,0,,,,24.3,0,0,10.8,57.0
1,16,5,0,,,,24.2,0,0,13.0,0.0
1,17,5,0,,,,21.1,0,0,10.7,0.0
1,18,5,0,,,,14.9,0,0,11.9,0.0
1,19,5,0,,,,7.3,0,0,11.5,0.0
1,20,5,0,,,,3.4,0,0,0.3,0.0
1,21,5,0,,,,3.0,0,0,0.0,0.0
1,22,5,0,,,,3.0,0,0,0.0,0.0
1,23,5,0,,,,2.9,0,0,0.0,0.0
1,24,5,0,,,,2.9,0,0,0.0,0.0
1,1,6,0,,,,2.9,0,0,0.0,0.0
1,2,6,0,,,,3.0,0,0,0.0,0.0
1,3,6,0,,,,5.1,0,0,4.6,0.0
1,4,6,0,,,,5.2,0,0,0.5,0.0
1,5,6,0,,,,8.5,0,0,1.2,0.0
1,6,6,0,,,,10.9,0,0,1.3,0.0
1,7,6,0,,,,15.3,0,0,1.4,0.0
1,8,6,0,,,,14.9,0,0,23.0,7.0
1,9,6,0,,,,16.1,0,0,15.8,19.0
1,10,6,0,,,,22.3,0,0,12.4,39.0
1,11,6,0,,,,23.1,0,0,12.0,52.0
1,12,6,0,,,,24.9,0,0,11.7,50.0
1,13,6,0,,,,24.1,0,0,12.5,58.0
1,14,6,0,,,,20.6,0,0,11.1,32.0
1,15,6,0,,,,20.7,0,0,12.7,5.0
1,16,6,0,,,,19.5,0,0,10.9,0.0
1,17,6,0,,,,17.9,0,0,13.1,0.0
1,18,6,0,,,,15.2,0,0,12.0,0.0
1,19,6,0,,,,7.7,0,0,12.6,0.0
1,20,6,0,,,,3.7,0,0,0.2,0.0
1,21,6,0,,,,2.8,0,0,0.0,0.0
1,22,6,0,,,,2.8,0,0,0.0,0.0
1,23,6,0,,,,2.8,0,0,0.0,0.0
1,24,6,0,,,,2.7,0,0,0.0,0.0
1,1,7,0,,,,2.8,0,0,0.0,0.0
1,2,7,0,,,,2.8,0,0,0.0,0.0
1,3,7,0,,,,4.4,0,0,3.4,0.0
1,4,7,0,,,,5.0,0,0,1.2,0.0
1,5,7,0,,,,5.0,0,0,1.1,0.0
1,6,7,0,,,,4.8,0,0,1.0,0.0
1,7,7,0,,,,4.9,0,0,1.1,0.0
1,8,7,0,,,,4.7,0,0,1.1,10.0
1,9,7,0,,,,4.5,0,0,1.1,44.0
1,10,7,0,,,,5.8,0,0,1.1,145.0
1,11,7,0,,,,8.1,0,0,1.4,359.0
1,12,7,0,,,,5.3,0,0,1.4,410.0
1,13,7,0,,,,4.7,0,0,1.2,249.0
1,14,7,0,,,,4.6,0,0,1.6,118.0
1,15,7,0,,,,4.6,0,0,1.2,17.0
1,16,7,0,,,,4.8,0,0,1.1,0.0
1,17,7,0,,,,5.1,0,0,1.5,0.0
1,18,7,0,,,,5.0,0,0,1.3,0.0
1,19,7,0,,,,5.2,0,0,1.1,0.0
1,20,7,0,,,,5.1,0,0,1.7,0.0
1,21,7,0,,,,5.1,0,0,1.1,0.0
1,22,7,0,,,,5.2,0,0,1.1,0.0
1,23,7,0,,,,5.0,0,0,1.1,0.0
1,24,7,0,,,,5.0,0,0,1.6,0.0
1,1,1,0,,,,5.0,0,0,1.1,0.0
1,2,1,0,,,,5.1,0,0,1.1,0.0
1,3,1,0,,,,5.2,0,0,1.1,0.0
1,4,1,0,,,,5.1,0,0,1.7,0.0
